station_name,collectioncode,seriescode,ocean,station_type,latitude,longitude,depth,stationstatus,stationclass,first_year,last_year,locality,rcvr_serial,map_code
FAD J,PIRAT.HCTP,PIRAT,MID PACIFIC,Acoustic,21.8333,-158.1467,2000.0,active,deployed,2021-11-12,2025-06-07,,,
FAD LL,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,21.74833,-157.755,unknown,active,deployed,2008-03-13,2011-01-28,,,
FAD MM,PIRAT.HCTP,PIRAT,MID PACIFIC,Acoustic,21.6067,-157.52,2000,active,deployed,2018-06-06,2025-06-07,,,
FAD OT,PIRAT.HCTP,PIRAT,MID PACIFIC,Acoustic,19.87667,-156.19333,2000.0,active,deployed,2017-04-24,2025-07-24,,,
FAD P,PIRAT.HCTP,PIRAT,MID PACIFIC,Acoustic,20.773,-157.8116,2000,active,deployed,2021-10-13,,,,
FAD R,PIRAT.HCTP,PIRAT,MID PACIFIC,Acoustic,21.45833,-158.28166,2000,active,deployed,2022-02-14,2025-06-12,,,
FAD S,PIRAT.HCTP,PIRAT,MID PACIFIC,Acoustic,21.39667,-158.24667,2000.0,active,deployed,2020-09-10,2025-06-12,,,
FAD T,PIRAT.HCTP,PIRAT,MID PACIFIC,Acoustic,21.48,-157.48,2000,active,deployed,2017-12-14,,,,
FAD TT,PIRAT.HCTP,PIRAT,MID PACIFIC,Acoustic,19.07667,-155.95667,2000.0,active,deployed,2018-05-23,,,,
FAD U,PIRAT.HCTP,PIRAT,MID PACIFIC,Acoustic,21.58167,-157.69167,2000,active,deployed,2018-06-06,,,,
FAD UU,PIRAT.HCTP,PIRAT,MID PACIFIC,Acoustic,19.28,-155.95167,2000.0,active,deployed,2017-01-11,2025-06-27,,,
FAD V,PIRAT.HCTP,PIRAT,MID PACIFIC,Acoustic,21.5383,-158.313,2000,active,deployed,2022-02-14,2025-06-12,,,
FAD VV,PIRAT.HCTP,PIRAT,MID PACIFIC,Acoustic,19.585,-156.03167,2000.0,active,deployed,2017-12-08,2025-06-26,,,
FAD X,PIRAT.HCTP,PIRAT,MID PACIFIC,Acoustic,21.86333,-157.99333,2000.0,active,deployed,2018-06-06,2025-06-07,,,
FAD XX,PIRAT.HCTP,PIRAT,MID PACIFIC,Acoustic,20.03666,-156.10333,2000,active,deployed,2017-04-24,2025-06-26,,,
